"","Col1","Col2"
"1",2000,-0.107
"2",2000,NA
"3",2000,NA
"4",2000,0.408
"5",2000,-0.129
"6",2000,0.199
"7",2000,0.243
"8",2000,0.556
"9",2000,-0.078
"10",2000,-0.098
"11",2000,NA
"12",2000,NA
"13",2000,NA
"14",2000,-0.161
"15",2000,NA
"16",2000,0.278
"17",2000,0.405
"18",2000,0.396
"19",2000,-0.128
"20",2000,0.069
"21",2000,0.363
"22",2000,-0.126
"23",2000,-0.068
"24",2000,-0.089
"25",2000,-0.095
"26",2000,-0.09
"27",2000,-0.038
"28",2000,-0.005
"29",2000,0.114
"30",2000,-0.032
"31",2000,-0.063
"32",2000,NA
"33",2000,-0.089
"34",2000,-0.014
"35",2000,-0.129
"36",2000,-0.001
"37",2000,-0.147
"38",2000,-0.076
"39",2000,0.032
"40",2000,0.141
"41",2000,0.349
"42",2000,-0.014
"43",2000,-0.099
"44",2000,-0.142
"45",2000,-0.109
"46",2000,-0.109
"47",2000,0.107
"48",2000,-0.126
"49",2000,0.005
"50",2000,0.171
"51",2000,-0.197
"52",2000,-0.13
"53",2000,0.059
"54",2000,0.243
"55",2000,-0.162
"56",2000,-0.073
"57",2000,0.073
"58",2000,-0.129
"59",2000,0.004
"60",2000,-0.043
"61",2000,NA
"62",2000,-0.004
"63",2000,-0.091
"64",2000,-0.202
"65",2000,-0.072
"66",2000,0.095
"67",2000,-0.146
"68",2000,NA
"69",2000,NA
"70",2000,0.462
"71",2000,-0.207
"72",2000,-0.142
"73",2000,-0.032
"74",2000,0.224
"75",2000,-0.101
"76",2000,-0.043
"77",2000,0.181
"78",2000,-0.143
"79",2000,0.094
"80",2000,0.443
"81",2000,NA
"82",2000,0.025
"83",2001,0.013
"84",2001,0.046
"85",2001,0.405
"86",2001,NA
"87",2001,NA
"88",2001,NA
"89",2001,NA
"90",2001,0.687
"91",2001,NA
"92",2001,-0.098
"93",2001,-0.089
"94",2001,NA
"95",2001,0.038
"96",2001,0.18
"97",2001,-0.2
"98",2001,-0.193
"99",2001,-0.12
"100",2001,-0.03
"101",2001,-0.066
"102",2001,-0.128
"103",2001,-0.055
"104",2001,NA
"105",2001,-0.054
"106",2001,-0.001
"107",2001,NA
"108",2001,-0.138
"109",2001,-0.155
"110",2001,-0.036
"111",2001,0.025
"112",2001,NA
"113",2001,-0.046
"114",2001,-0.089
"115",2001,-0.153
"116",2001,NA
"117",2001,0.129
"118",2001,-0.039
"119",2001,NA
"120",2001,-0.048
"121",2001,-0.084
"122",2001,-0.088
"123",2001,-0.015
"124",2001,-0.016
"125",2001,0.179
"126",2001,0.137
"127",2001,-0.197
"128",2001,-0.09
"129",2001,-0.192
"130",2001,NA
"131",2001,0.016
"132",2001,-0.204
"133",2001,NA
"134",2001,-0.14
"135",2001,-0.004
"136",2001,0.104
"137",2001,-0.092
"138",2001,-0.207
"139",2001,NA
"140",2001,0.025
"141",2001,0.259
"142",2001,-0.132
"143",2001,0.001
"144",2001,0.216
"145",2001,-0.081
"146",2001,0.122
"147",2001,0.434
"148",2001,-0.093
"149",2001,-0.201
"150",2001,-0.066
"151",2001,0.146
"152",2001,-0.212
"153",2001,NA
"154",2001,-0.063
"155",2001,NA
"156",2001,0.16
"157",2001,NA
"158",2001,-0.15
"159",2001,-0.024
"160",2001,-0.141
"161",2001,-0.043
"162",2001,-0.219
"163",2001,0.182
"164",2001,-0.122
"165",2001,-0.045
"166",2001,-0.152
"167",2001,0.019
"168",2001,-0.106
"169",2001,-0.113
"170",2001,NA
"171",2001,NA
"172",2001,0.691
"173",2002,NA
"174",2002,NA
"175",2002,0.448
"176",2002,NA
"177",2002,NA
"178",2002,0.552
"179",2002,-0.014
"180",2002,0.028
"181",2002,0.387
"182",2002,0.045
"183",2002,-0.025
"184",2002,-0.126
"185",2002,0.142
"186",2002,0.481
"187",2002,-0.076
"188",2002,-0.05
"189",2002,-0.058
"190",2002,-0.044
"191",2002,-0.011
"192",2002,0.079
"193",2002,0.003
"194",2002,0.062
"195",2002,0.226
"196",2002,0.004
"197",2002,0.178
"198",2002,0.31
"199",2002,-0.019
"200",2002,-0.038
"201",2002,0.066
"202",2002,NA
"203",2002,-0.146
"204",2002,-0.13
"205",2002,0.031
"206",2002,-0.058
"207",2002,0.07
"208",2002,-0.084
"209",2002,-0.003
"210",2002,0.158
"211",2002,-0.099
"212",2002,0.11
"213",2002,0.307
"214",2002,-0.169
"215",2002,-0.079
"216",2002,-0.113
"217",2002,0.055
"218",2002,0.167
"219",2002,-0.184
"220",2002,-0.162
"221",2002,-0.111
"222",2002,0.069
"223",2002,0.259
"224",2002,-0.131
"225",2002,0.054
"226",2002,0.138
"227",2002,0.034
"228",2002,-0.077
"229",2002,-0.178
"230",2002,-0.157
"231",2002,-0.176
"232",2002,-0.073
"233",2002,0.087
"234",2002,-0.11
"235",2002,0.107
"236",2002,0.363
"237",2002,-0.125
"238",2002,0.006
"239",2002,0.083
"240",2002,-0.184
"241",2002,-0.197
"242",2002,-0.168
"243",2002,-0.053
"244",2002,-0.094
"245",2002,-0.181
"246",2002,-0.035
"247",2002,-0.11
"248",2002,0.14
"249",2002,0.182
"250",2002,0.422
"251",2002,0.226
"252",2002,NA
"253",2002,NA
"254",2002,NA
"255",2002,NA
"256",2002,NA
"257",2002,NA
"258",2002,NA
"259",2002,NA
"260",2002,NA
"261",2002,NA
"262",2002,0.723
"263",2002,NA
"264",2003,NA
"265",2003,NA
"266",2003,0.549
"267",2003,NA
"268",2003,NA
"269",2003,NA
"270",2003,NA
"271",2003,NA
"272",2003,NA
"273",2003,NA
"274",2003,NA
"275",2003,NA
"276",2003,NA
"277",2003,NA
"278",2003,NA
"279",2003,NA
"280",2003,NA
"281",2003,NA
"282",2003,0.276
"283",2003,0.343
"284",2003,0.18
"285",2003,0.315
"286",2003,0.707
"287",2003,-0.089
"288",2003,-0.117
"289",2003,NA
"290",2003,-0.162
"291",2003,NA
"292",2003,0.018
"293",2003,-0.209
"294",2003,-0.18
"295",2003,NA
"296",2003,-0.075
"297",2003,-0.022
"298",2003,-0.095
"299",2003,0.008
"300",2003,0.143
"301",2003,-0.085
"302",2003,-0.002
"303",2003,0.044
